ok [5, 6, 10, 11, 18, 27]   [5, 6, 10, 11, 18, 27]
ok [6, 12, 15, 21, 22, 29]   [6, 12, 15, 21, 22, 29]
ok [33, 2, 13, 18, 19, 26]   [33, 2, 13, 18, 19, 26]
ok [6, 11, 13, 23, 25, 31]   [6, 11, 13, 23, 25, 31]
ok [7, 11, 21, 27, 30, 31]   [7, 11, 21, 27, 30, 31]
ok [32, 2, 3, 10, 27, 31]   [32, 2, 3, 10, 27, 31]
ok [33, 5, 9, 22, 23, 31]   [33, 5, 9, 22, 23, 31]
ok [1, 33, 8, 7, 17, 23]   [33, 1, 7, 8, 17, 23]
ok [33, 7, 9, 15, 28, 31]   [33, 7, 9, 15, 28, 31]
ok [32, 8, 9, 16, 17, 20]   [32, 8, 9, 16, 17, 20]
ok [8, 13, 25, 26, 29, 30]   [8, 13, 25, 26, 29, 30]
ok [7, 8, 18, 19, 22, 25]   [7, 8, 18, 19, 22, 25]
ok [1, 9, 17, 20, 22, 25]   [1, 9, 17, 20, 22, 25]
ok [3, 17, 19, 21, 26, 27]   [3, 17, 19, 21, 26, 27]
ok [32, 6, 13, 14, 24, 31]   [32, 6, 13, 14, 24, 31]
ok [7, 9, 22, 23, 28, 31]   [7, 9, 22, 23, 28, 31]
ok [6, 8, 11, 20, 24, 25]   [6, 8, 11, 20, 24, 25]
ok [32, 1, 11, 14, 16, 21]   [32, 1, 11, 14, 16, 21]
ok [4, 14, 18, 19, 29, 30]   [4, 14, 18, 19, 29, 30]
ok [33, 2, 13, 24, 25, 31]   [33, 2, 13, 24, 25, 31]
ok [4, 7, 15, 18, 20, 23]   [4, 7, 15, 18, 20, 23]
ok [32, 2, 3, 17, 20, 31]   [32, 2, 3, 17, 20, 31]
ok [15, 16, 17, 18, 25, 26]   [15, 16, 17, 18, 25, 26]
ok [16, 17, 20, 22, 24, 30]   [16, 17, 20, 22, 24, 30]
ok [8, 9, 11, 13, 20, 24]   [8, 9, 11, 13, 20, 24]
ok [33, 3, 1, 15, 16, 19]   [33, 3, 1, 15, 16, 19]
ok [6, 8, 20, 28, 29, 31]   [6, 8, 20, 28, 29, 31]
ok [1, 3, 11, 14, 17, 18]   [1, 3, 11, 14, 17, 18]
ok [6, 7, 13, 18, 22, 29]   [6, 7, 13, 18, 22, 29]
ok [33, 7, 15, 17, 18, 22]   [33, 7, 15, 17, 18, 22]
ok [33, 3, 12, 15, 18, 19]   [33, 3, 12, 15, 18, 19]
ok [32, 1, 2, 33, 7, 22]   [32, 1, 2, 33, 7, 22]
ok [32, 1, 3, 9, 13, 15]   [32, 1, 3, 9, 13, 15]
ok [33, 1, 12, 17, 22, 27]   [1, 33, 12, 17, 22, 27]
ok [2, 4, 13, 14, 23, 26]   [2, 4, 13, 14, 23, 26]
ok [4, 7, 8, 18, 23, 27]   [4, 7, 8, 18, 23, 27]
ok [5, 6, 14, 20, 21, 22]   [5, 6, 14, 20, 21, 22]
ok [32, 2, 5, 15, 19, 25]   [32, 2, 5, 15, 19, 25]
ok [2, 5, 9, 10, 11, 13]   [2, 5, 9, 10, 11, 13]
ok [2, 12, 15, 16, 22, 23]   [2, 12, 15, 16, 22, 23]
ok [6, 12, 14, 22, 24, 28]   [6, 12, 14, 22, 24, 28]
ok [4, 8, 16, 25, 28, 29]   [4, 8, 16, 25, 28, 29]
ok [1, 9, 15, 28, 30, 31]   [1, 9, 15, 28, 30, 31]
ok [32, 9, 12, 20, 27, 28]   [32, 9, 12, 20, 27, 28]
ok [8, 9, 14, 17, 22, 24]   [8, 9, 14, 17, 22, 24]
ok [4, 11, 14, 16, 21, 23]   [4, 11, 14, 16, 21, 23]
ok [2, 6, 8, 16, 17, 21]   [2, 6, 8, 16, 17, 21]
ok [1, 7, 16, 23, 28, 31]   [1, 7, 16, 23, 28, 31]
ok [33, 14, 17, 21, 22, 24]   [33, 14, 17, 21, 22, 24]
ok [32, 2, 4, 11, 18, 30]   [32, 2, 4, 11, 18, 30]
ok [4, 5, 9, 12, 24, 27]   [4, 5, 9, 12, 24, 27]
ok [1, 8, 9, 20, 26, 29]   [1, 8, 9, 20, 26, 29]
ok [32, 33, 9, 10, 25, 30]   [32, 33, 9, 10, 25, 30]
